what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1657921805129
os,sysinfo,,,"win32",1657921805133
arch,sysinfo,,,"x86",1657921805133
ws,sysinfo,,,"win32",1657921805133
locale,sysinfo,,,"pt_BR",1657921805133
processors,sysinfo,,,"2",1657921805133
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1657921805133
java.runtime.version,sysinfo,,,"1.8.0_331-b09",1657921805133
java.specification.name,sysinfo,,,"Java Platform API Specification",1657921805133
java.specification.vendor,sysinfo,,,"Oracle Corporation",1657921805133
java.specification.version,sysinfo,,,"1.8",1657921805133
java.vendor,sysinfo,,,"Oracle Corporation",1657921805133
java.version,sysinfo,,,"1.8.0_331",1657921805133
java.vm.info,sysinfo,,,"mixed mode",1657921805133
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1657921805133
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1657921805133
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1657921805133
java.vm.specification.version,sysinfo,,,"1.8",1657921805133
java.vm.vendor,sysinfo,,,"Oracle Corporation",1657921805133
java.vm.version,sysinfo,,,"25.331-b09",1657921805133
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1657921805168
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1657921805220
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1657921805263
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1657921805305
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1657921805550
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1657921805609
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1657921806590
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1657921806956
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1657921807003
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1657921807012
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1657921807015
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1657921807122
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1657921807386
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1657921807606
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1657921813837
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1657921815053
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1657921817461
